"","ID","gridX","gridY","Fixed_trigger"
"1","ID_1",1,1,0
"2","ID_2",2,1,0
"3","ID_3",3,1,0
"4","ID_4",4,1,0
"5","ID_5",5,1,1
"6","ID_6",6,1,0
"7","ID_7",7,1,0
"8","ID_8",8,1,0
"9","ID_9",9,1,1
"10","ID_10",10,1,0
"11","ID_11",1,2,0
"12","ID_12",2,2,0
"13","ID_13",3,2,0
"14","ID_14",4,2,0
"15","ID_15",5,2,0
"16","ID_16",6,2,0
"17","ID_17",7,2,0
"18","ID_18",8,2,0
"19","ID_19",9,2,0
"20","ID_20",10,2,0
"21","ID_21",1,3,0
"22","ID_22",2,3,1
"23","ID_23",3,3,0
"24","ID_24",4,3,0
"25","ID_25",5,3,0
"26","ID_26",6,3,0
"27","ID_27",7,3,0
"28","ID_28",8,3,1
"29","ID_29",9,3,0
"30","ID_30",10,3,0
"31","ID_31",1,4,0
"32","ID_32",2,4,0
"33","ID_33",3,4,0
"34","ID_34",4,4,0
"35","ID_35",5,4,0
"36","ID_36",6,4,0
"37","ID_37",7,4,0
"38","ID_38",8,4,1
"39","ID_39",9,4,0
"40","ID_40",10,4,0
"41","ID_41",1,5,0
"42","ID_42",2,5,0
"43","ID_43",3,5,0
"44","ID_44",4,5,0
"45","ID_45",5,5,0
"46","ID_46",6,5,0
"47","ID_47",7,5,0
"48","ID_48",8,5,0
"49","ID_49",9,5,0
"50","ID_50",10,5,0
"51","ID_51",1,6,0
"52","ID_52",2,6,0
"53","ID_53",3,6,0
"54","ID_54",4,6,0
"55","ID_55",5,6,0
"56","ID_56",6,6,0
"57","ID_57",7,6,0
"58","ID_58",8,6,0
"59","ID_59",9,6,0
"60","ID_60",10,6,0
"61","ID_61",1,7,0
"62","ID_62",2,7,0
"63","ID_63",3,7,0
"64","ID_64",4,7,0
"65","ID_65",5,7,0
"66","ID_66",6,7,0
"67","ID_67",7,7,0
"68","ID_68",8,7,0
"69","ID_69",9,7,0
"70","ID_70",10,7,0
"71","ID_71",1,8,0
"72","ID_72",2,8,0
"73","ID_73",3,8,0
"74","ID_74",4,8,0
"75","ID_75",5,8,0
"76","ID_76",6,8,0
"77","ID_77",7,8,0
"78","ID_78",8,8,0
"79","ID_79",9,8,0
"80","ID_80",10,8,1
"81","ID_81",1,9,0
"82","ID_82",2,9,0
"83","ID_83",3,9,0
"84","ID_84",4,9,0
"85","ID_85",5,9,0
"86","ID_86",6,9,0
"87","ID_87",7,9,0
"88","ID_88",8,9,0
"89","ID_89",9,9,0
"90","ID_90",10,9,0
"91","ID_91",1,10,0
"92","ID_92",2,10,0
"93","ID_93",3,10,0
"94","ID_94",4,10,0
"95","ID_95",5,10,0
"96","ID_96",6,10,0
"97","ID_97",7,10,0
"98","ID_98",8,10,0
"99","ID_99",9,10,0
"100","ID_100",10,10,0
